{'task': 'cartpole-swingup', 'seed': 1, 'layout': 'prerelease', 'H': 256, 'k': 5, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 1.7573771533565425, 'kappa': 0.0008289150275880874, 'norm_z_star': 1.607441371978179, 'width_kind': 'r_star', 'width_min': 0.2812498228685877, 'width_median': 0.623361214359073, 'width_max': 1.1526646879969258}
{'task': 'cartpole-swingup', 'seed': 2, 'layout': 'public', 'H': 256, 'k': 5, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 1.9890435812253084, 'kappa': 0.0006470701524885116, 'norm_z_star': 0.4867581855934791, 'width_kind': 'r_star', 'width_min': 0.9824289474712837, 'width_median': 1.3368372269483924, 'width_max': 4.595948677660005}
{'task': 'cartpole-swingup', 'seed': 3, 'layout': 'public', 'H': 256, 'k': 5, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 2.773155319316911, 'kappa': 0.00033288296933006045, 'norm_z_star': 1.1821274262044068, 'width_kind': 'r_star', 'width_min': 0.9954268533826327, 'width_median': 1.5510883792219368, 'width_max': 4.99259730355371}
{'task': 'cheetah-run', 'seed': 1, 'layout': 'public', 'H': 256, 'k': 17, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 2.878214935097938, 'kappa': 0.00030902493267479593, 'norm_z_star': 3.7464902644420035, 'width_kind': 'r_star', 'width_min': 0.16282363308226377, 'width_median': 1.1289048601050955, 'width_max': 15.20461469076384}
{'task': 'cheetah-run', 'seed': 2, 'layout': 'public', 'H': 256, 'k': 17, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 3.55901427090776, 'kappa': 0.00020210660481825675, 'norm_z_star': 3.6959180998797097, 'width_kind': 'r_star', 'width_min': 0.14890786555710142, 'width_median': 1.2203070694222264, 'width_max': 20.65946581885411}
{'task': 'cheetah-run', 'seed': 3, 'layout': 'public', 'H': 256, 'k': 17, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 3.8198742806797434, 'kappa': 0.0001754453353595615, 'norm_z_star': 3.488442258297357, 'width_kind': 'r_star', 'width_min': 0.1516725771790965, 'width_median': 1.3283908232611463, 'width_max': 21.51255569953507}
{'task': 'walker-run', 'seed': 1, 'layout': 'public', 'H': 256, 'k': 24, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 1.244866023954328, 'kappa': 0.001651941780752392, 'norm_z_star': 2.6936606457733667, 'width_kind': 'r_star', 'width_min': 0.21868384566252477, 'width_median': 0.5025120267260141, 'width_max': 16.262449511561158}
{'task': 'walker-run', 'seed': 2, 'layout': 'public', 'H': 256, 'k': 24, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 1.2691526285125772, 'kappa': 0.0015893233287112012, 'norm_z_star': 3.0028576941793483, 'width_kind': 'r_star', 'width_min': 0.23409464946952496, 'width_median': 0.5127610942063207, 'width_max': 16.517065008560536}
{'task': 'walker-run', 'seed': 3, 'layout': 'public', 'H': 256, 'k': 24, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 1.7455429066715626, 'kappa': 0.0008401927084419992, 'norm_z_star': 3.2284547389505294, 'width_kind': 'r_star', 'width_min': 0.23858561836917438, 'width_median': 0.5669247692827143, 'width_max': 17.628151036236364}
{'task': 'humanoid-run', 'seed': 1, 'layout': 'public', 'H': 256, 'k': 67, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 7.047793502364261, 'kappa': 5.153871941972511e-05, 'norm_z_star': 6.853685043079768, 'width_kind': 'r_star', 'width_min': 0.36591456431026304, 'width_median': 1.4015516475579026, 'width_max': 62.82428229124371}
{'task': 'humanoid-run', 'seed': 2, 'layout': 'public', 'H': 256, 'k': 67, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 6.998654365443893, 'kappa': 5.226499019262001e-05, 'norm_z_star': 5.852949253756049, 'width_kind': 'r_star', 'width_min': 0.3625688713830535, 'width_median': 1.2893674191454094, 'width_max': 51.026562185427906}
{'task': 'humanoid-run', 'seed': 3, 'layout': 'prerelease', 'H': 256, 'k': 67, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 8.570484273837655, 'kappa': 3.485212320250587e-05, 'norm_z_star': 1.6864929502133492, 'width_kind': 'r_star', 'width_min': 0.7790245886787772, 'width_median': 2.604223802857717, 'width_max': 22.06031270368491}
{'task': 'dog-run', 'seed': 1, 'layout': 'public', 'H': 256, 'k': 223, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 10.901855726800981, 'kappa': 2.153967293754083e-05, 'norm_z_star': 562.523475335696, 'width_kind': 'r_star', 'width_min': 0.16076085099649037, 'width_median': 3.40837374287034, 'width_max': 1595.8945601147007}
{'task': 'dog-run', 'seed': 2, 'layout': 'public', 'H': 256, 'k': 223, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 16.650364434038668, 'kappa': 9.23405545176296e-06, 'norm_z_star': 632.7990352586103, 'width_kind': 'r_star', 'width_min': 0.213318279561573, 'width_median': 3.8914324484445055, 'width_max': 1928.9331086176935}
{'task': 'dog-run', 'seed': 3, 'layout': 'public', 'H': 256, 'k': 223, 'eps': 1e-05, 'degenerate': False, 'norm_c_perp': 13.76409508705863, 'kappa': 1.351277784564699e-05, 'norm_z_star': 769.1837363083333, 'width_kind': 'r_star', 'width_min': 0.18774808200356957, 'width_median': 3.0192713865491063, 'width_max': 2063.0989165143023}
